# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000      0.036      4.495      1.969
   20000      0.025      7.226      3.417
   30000      0.024     10.452      5.271
   40000      0.025     14.300      6.972
   50000      0.025     17.775      8.730
   60000      0.024     21.669     10.493
   70000      0.024     24.854     12.586
   80000      0.025     28.600     14.338
   90000      0.025     32.768     16.088
  100000      0.024     36.285     18.101
